
Afghanistan, 2000, 2020, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Fiji, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Finland, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Germany, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Russia, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
France, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
United Kingdom, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Sweden, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
USA, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Mexico, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Japan, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
India, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Iran, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Iraq, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Kazakhstan, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8 
Algeria, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Vietnam, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Philippines, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Turkey, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Thailand, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Romania, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Netherlands, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Switzerland, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Ireland, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Hungary, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Greece, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Serbia, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Portugal, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Morocco, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Pakistan, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Spain, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Peru, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Singapore, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Norway, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Luxembourg, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Malaysia, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Italy, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Madagascar, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
Israel, 2005, 2020, ana1, ana2, ana3, ana4, ana5, ana6, ana7, ana8
